model,threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,estimated_cost
Logistic Regression + SMOTE,0.9999999944332008,0.9993832164381631,0.875,0.7368421052631579,0.8,0.9654445640853648,0.7041800749765968,56641,10,25,70,12750.0
Random Forest,0.6284795383665105,0.9994360836006062,0.9436619718309859,0.7052631578947368,0.8072289156626506,0.9464376993391672,0.801968420757357,56647,4,28,67,14100.0
Deep Neural Network,0.9999951124191284,0.9992069925633524,0.8048780487804879,0.6947368421052632,0.7457627118644068,0.9640691064123921,0.6915229763995859,56635,16,29,66,14900.0
